Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-05-19,229,0.7446212340176658,0.7102352340176658,0.7790072340176658,0.8494589057395225,0.8003360485966654,0.8985817628823798,84.94589057395225,80.03360485966654,89.85817628823798,Grain Filling,2023-10-03,2024-07-30,14.1,9.4,18.3,1.0,73,1011.5,11.2,31,13.850000000000001,1689.3000000000004
2024-05-20,230,0.7437500964426826,0.7093640964426826,0.7781360964426827,0.8482144234895467,0.7990915663466894,0.8973372806324038,84.82144234895466,79.90915663466895,89.73372806324038,Grain Filling,2023-10-03,2024-07-30,15.5,7.8,21.6,0.1,70,1010.5,6.1,55,14.700000000000001,1704.0000000000005
2024-05-21,231,0.7402855167890554,0.7058995167890554,0.7746715167890554,0.8432650239843649,0.7941421668415077,0.8923878811272221,84.32650239843649,79.41421668415077,89.2387881127222,Grain Filling,2023-10-03,2024-07-30,14.5,12.3,17.8,7.4,85,1006.5,11.6,100,15.05,1719.0500000000004
2024-05-22,232,0.7360592235256426,0.7016732235256425,0.7704452235256426,0.8372274621794894,0.7881046050366323,0.8863503193223466,83.72274621794894,78.81046050366322,88.63503193223467,Grain Filling,2023-10-03,2024-07-30,14.4,11.6,17.9,1.4,76,1011.2,15.4,67,14.75,1733.8000000000004
2024-05-23,233,0.7348893168780741,0.7005033168780741,0.7692753168780742,0.8355561669686773,0.7864333098258202,0.8846790241115345,83.55561669686773,78.64333098258201,88.46790241115346,Grain Filling,2023-10-03,2024-07-30,14.1,9.0,20.0,5.3,79,1015.9,7.1,63,14.5,1748.3000000000004
2024-05-24,234,0.7376127093693848,0.7032267093693848,0.7719987093693849,0.8394467276705497,0.7903238705276926,0.888569584813407,83.94467276705497,79.03238705276927,88.8569584813407,Grain Filling,2023-10-03,2024-07-30,13.5,10.7,17.4,4.6,84,1017.6,5.7,84,14.049999999999999,1762.3500000000004
2024-05-25,235,0.7414368228631101,0.70705082286311,0.7758228228631101,0.8449097469473001,0.7957868898044429,0.8940326040901573,84.49097469473001,79.57868898044428,89.40326040901573,Grain Filling,2023-10-03,2024-07-30,14.1,8.2,18.9,0.7,77,1018.0,4.6,58,13.549999999999999,1775.9000000000003
2024-05-26,236,0.7439359731401951,0.7095499731401951,0.7783219731401951,0.8484799616288502,0.799357104485993,0.8976028187717073,84.84799616288502,79.9357104485993,89.76028187717074,Grain Filling,2023-10-03,2024-07-30,16.1,9.5,21.2,0.1,72,1018.1,6.5,57,15.35,1791.2500000000002
2024-05-27,237,0.744886737681796,0.710500737681796,0.7792727376817961,0.8498381966882801,0.8007153395454228,0.8989610538311372,84.983819668828,80.07153395454229,89.89610538311372,Maturity,2023-10-03,2024-07-30,15.6,13.0,20.1,8.3,82,1018.1,6.5,87,16.55,1807.8000000000002
2024-05-28,238,0.7449338369562268,0.7105478369562268,0.7793198369562269,0.8499054813660384,0.8007826242231811,0.8990283385088955,84.99054813660383,80.07826242231812,89.90283385088955,Maturity,2023-10-03,2024-07-30,13.6,10.0,17.0,1.0,69,1019.5,13.1,66,13.5,1821.3000000000002
2024-05-29,239,0.7444654016585097,0.7100794016585097,0.7788514016585097,0.8492362880835853,0.8001134309407282,0.8983591452264426,84.92362880835853,80.01134309407281,89.83591452264426,Maturity,2023-10-03,2024-07-30,13.9,10.0,18.5,2.6,76,1014.6,9.7,96,14.25,1835.5500000000002
